case_id,Th_in_K,Tc_in_K,uh_in_mps,uc_in_mps,Th_in_bulk,Th_out_bulk,Tc_in_bulk,Tc_out_bulk,m_dot_hot,m_dot_cold,dp_hot,dp_cold,Q_total,effectiveness
case_001,303.0,283.5,1.0,1.0,303.0,297.5683229744142,283.5,284.2051156595209,0.1320880734465264,1.0308838285202777,1733.45806039335,1427.4494430189443,3018.769311286762,0.27854753977363295
case_002,311.0,283.5,1.0,1.0,311.0,302.85699929056136,283.5,284.5600666503213,0.13175889736828325,1.0308838285202777,1673.6990664733005,1425.9302282503293,4538.399663514529,0.2961091167068589
case_003,303.0,287.0,1.0,1.0,303.0,298.6212108527513,287.0,287.56771156143066,0.1320880734465264,1.0297666506837255,1728.6463891841715,1398.3618687346088,2433.6046189867407,0.273674321703043
case_004,303.0,283.5,1.4,1.4,303.0,297.980644153727,283.5,284.151589995363,0.18492330282513694,1.4432373599283888,3120.072311836243,2512.6128303726605,3905.458341446875,0.2574028639114379
case_005,295.0,283.5,1.0,1.0,295.0,292.0053694103405,283.5,283.88764339995464,0.13241724952476955,1.0308838285202777,1796.6512035526982,1428.809617442874,1659.5943994508025,0.26040265997039297
case_006,303.0,280.0,1.0,1.0,303.0,296.4821586143145,280.0,280.84719981668155,0.1320880734465264,1.0320010063568301,1738.4358395719435,1457.1216147272517,3622.428111660391,0.28338440807328097
case_007,303.0,283.5,1.4,1.0,303.0,298.5243618248629,283.5,284.31340984898077,0.18492330282513694,1.0308838285202777,3115.596927109995,1426.9857649022115,3482.4027185412356,0.2295199064172848
case_008,303.0,283.5,1.0,1.4,303.0,296.93630101754104,283.5,284.0622584867847,0.1320880734465264,1.4432373599283888,1736.3528153124914,2513.286287093818,3370.02887228068,0.31095892217738363
case_009,303.0,283.5,0.6,0.6,303.0,296.8926826073925,283.5,284.2928242255397,0.07925284406791584,0.6185302971121666,710.3177607099162,604.9793654947755,2036.562435385546,0.313195763723461
case_010,311.0,280.0,1.4,1.0,311.0,303.2966133655865,280.0,281.4057693648864,0.18446245631559655,1.0320010063568301,3012.2943161950843,1454.681948097311,6010.740755140706,0.24849634304559695
case_011,295.0,287.0,1.0,1.4,295.0,292.7154488791,287.0,287.21096444464496,0.13241724952476955,1.4416733109572155,1793.286338493677,2463.652627515473,1266.0754413571149,0.2855688901125
case_012,311.0,287.0,1.4,1.4,311.0,304.53273605885295,287.0,287.8408462063553,0.18446245631559655,1.4416733109572155,3002.4801259834335,2459.0015937296967,5046.22820976507,0.2694693308811281
case_013,295.0,280.0,0.6,0.6,295.0,290.51814225963744,280.0,280.58090196967754,0.07945034971486173,0.619200603814098,737.7914574806679,618.2111820400205,1490.2805102020798,0.2987905160241695
case_014,311.0,280.0,0.6,0.6,311.0,300.5386547013435,280.0,281.36361534721925,0.07905533842096996,0.619200603814098,688.8110902987644,616.7612385544992,3498.3000255643046,0.3374627515695657
case_015,295.0,287.0,1.4,0.6,295.0,293.59919396530375,287.0,287.4225627508357,0.18538414933467737,0.6178599904102353,3223.743322677466,593.06567023541,1086.8378227006501,0.1751007543370323
case_016,311.0,283.5,0.6,1.4,311.0,299.1580586096871,283.5,284.16068556951245,0.07905533842096996,1.4432373599283888,691.3262316086234,2512.5442703391313,3959.9748106759034,0.4306160505568333
