case_id,Th_in_K,Tc_in_K,uh_in_mps,uc_in_mps,notes
case_001,303.0,283.5,1.0,1.0,baseline
case_002,295.0,283.5,1.0,1.0,hot_temp_low
case_003,311.0,283.5,1.0,1.0,hot_temp_high
case_004,303.0,279.0,1.0,1.0,cold_temp_low
case_005,303.0,287.0,1.0,1.0,cold_temp_high
case_006,295.0,279.0,1.0,1.0,both_temp_low
case_007,311.0,287.0,1.0,1.0,both_temp_high
case_008,303.0,283.5,0.6,1.0,hot_velocity_low
case_009,303.0,283.5,1.4,1.0,hot_velocity_high
case_010,303.0,283.5,1.0,0.6,cold_velocity_low
case_011,303.0,283.5,1.0,1.4,cold_velocity_high
case_012,303.0,283.5,0.6,0.6,both_velocity_low
case_013,303.0,283.5,1.4,1.4,both_velocity_high
case_014,311.0,279.0,1.4,0.6,cross_high_hot_low_cold
case_015,295.0,287.0,0.6,1.4,cross_low_hot_high_cold
case_016,311.0,283.5,1.4,1.0,hot_high_fast
