domain,x,y,z,r,phi_rad,u_pred,v_pred,w_pred,p_pred,T_pred,case_id,Th_in_K,Tc_in_K,uh_in_mps,uc_in_mps
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0016782928,0.0,-0.205,0.0016782928,0.0,-0.08828096,0.0316885,-0.5619212,0.0,300.72583,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0023734646,0.0,-0.205,0.0023734646,0.0,-0.053089183,-0.04556146,-0.4931489,0.0,299.59796,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0029068885,0.0,-0.205,0.0029068885,0.0,0.031012598,-0.00073497545,-0.47015578,0.0,300.10748,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0033565855,0.0,-0.205,0.0033565855,0.0,-0.035665963,0.056520086,-0.5157982,0.0,300.2533,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0037527767,0.0,-0.205,0.0037527767,0.0,-0.037337642,0.03626778,-0.45649177,0.0,300.55164,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004110961,0.0,-0.205,0.004110961,0.0,-0.036503356,0.06705797,-0.38416216,0.0,299.52188,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0044403453,0.0,-0.205,0.0044403453,0.0,-0.06517958,0.03184581,-0.31453744,0.0,299.7687,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0047469293,0.0,-0.205,0.0047469293,0.0,-0.0069734524,-0.018664911,-0.23905216,0.0,299.704,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0050348784,0.0,-0.205,0.0050348784,0.0,0.014720465,0.021452038,-0.25902712,0.0,299.62863,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0053072283,0.0,-0.205,0.0053072283,0.0,-0.023790153,0.024765799,-0.2476699,0.0,299.89746,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0055662678,0.0,-0.205,0.0055662678,0.0,-0.025059542,-0.011604471,-0.19188516,0.0,299.75745,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.005813777,0.0,-0.205,0.005813777,0.0,-0.0075627426,-0.018209357,-0.11510918,0.0,299.93875,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0060511706,0.0,-0.205,0.0060511706,0.0,-0.0055291746,-0.0073338817,-0.072049886,0.0,300.21527,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.006279597,0.0,-0.205,0.006279597,0.0,-0.0038395394,0.0040856563,-0.038173314,0.0,299.9124,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0065,0.0,-0.205,0.0065,0.0,-0.0,0.0,-0.0,0.0,300.02103,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0016639348,0.00021906117,-0.205,0.0016782929,0.1308997,-0.089203514,0.11179881,-0.6339856,0.0,300.77457,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0023531595,0.00030979933,-0.205,0.0023734649,0.1308997,-0.012898131,-0.07278758,-0.4681814,0.0,300.1077,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0028820196,0.0003794251,-0.205,0.0029068883,0.1308997,-0.046885658,0.022854129,-0.5181732,0.0,300.54355,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0033278696,0.00043812234,-0.205,0.0033565857,0.1308997,0.03334078,0.0008853627,-0.41693658,0.0,299.79428,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0037206712,0.0004898357,-0.205,0.003752777,0.1308997,0.0030521434,0.06581718,-0.42747185,0.0,300.0569,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0040757917,0.00053658814,-0.205,0.004110961,0.13089968,0.00723633,0.027846796,-0.38785815,0.0,300.00195,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0044023576,0.0005795814,-0.205,0.0044403453,0.1308997,-0.044357188,-0.012729848,-0.36522475,0.0,299.94012,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004706319,0.00061959866,-0.205,0.0047469297,0.1308997,-0.051675223,-0.0016470926,-0.30955023,0.0,299.76706,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0049918042,0.0006571835,-0.205,0.0050348784,0.1308997,-0.027540993,-0.035227444,-0.22064564,0.0,299.9723,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0052618245,0.00069273234,-0.205,0.0053072283,0.1308997,-0.011518854,-0.019899886,-0.17784628,0.0,299.85028,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.005518648,0.0007265438,-0.205,0.005566268,0.1308997,-0.014264441,0.025868254,-0.16455384,0.0,299.99838,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0057640392,0.0007588502,-0.205,0.0058137765,0.1308997,-0.012186965,0.024622656,-0.13613226,0.0,299.678,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.005999402,0.0007898363,-0.205,0.0060511706,0.1308997,0.0007962374,0.010935721,-0.09043018,0.0,299.79523,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.006225874,0.00081965193,-0.205,0.006279597,0.1308997,0.001271756,0.005454954,-0.042687505,0.0,299.68365,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.006444392,0.0008484203,-0.205,0.0065,0.1308997,-0.0,0.0,-0.0,0.0,300.4245,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0016211063,0.00043437412,-0.205,0.0016782928,0.2617994,-0.04773785,0.12544295,-0.65523326,0.0,300.3161,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0022925907,0.00061429787,-0.205,0.0023734644,0.2617994,-0.013589318,-0.008745731,-0.5090817,0.0,300.48975,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0028078386,0.0007523581,-0.205,0.0029068885,0.2617994,-0.09061926,0.03217102,-0.54909474,0.0,300.3278,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0032422126,0.00086874823,-0.205,0.0033565855,0.2617994,0.013382354,0.0032717565,-0.3947285,0.0,300.12558,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0036249037,0.00097129005,-0.205,0.0037527764,0.2617994,-0.0072436607,0.0048447317,-0.44249874,0.0,300.35318,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.003970884,0.0010639951,-0.205,0.0041109617,0.26179937,-0.019436935,0.039022125,-0.3942465,0.0,300.41504,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004289044,0.0011492459,-0.205,0.004440345,0.2617994,0.013536182,0.06080917,-0.32670057,0.0,300.2301,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0045851814,0.0012285957,-0.205,0.004746929,0.2617994,0.007426396,0.0046339254,-0.30274308,0.0,300.01987,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004863319,0.0013031224,-0.205,0.0050348784,0.2617994,-0.02116739,-0.019642277,-0.25747046,0.0,299.50494,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0051263887,0.0013736117,-0.205,0.0053072283,0.2617994,-0.033169862,-0.0048651323,-0.22184077,0.0,299.6122,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0053766016,0.0014406561,-0.205,0.0055662673,0.2617994,-0.032922532,-0.0038931593,-0.18548504,0.0,300.14877,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.005615677,0.0015047162,-0.205,0.005813777,0.2617994,-0.016381482,0.0041539087,-0.13611469,0.0,299.20877,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.005844982,0.0015661581,-0.205,0.0060511706,0.2617994,-0.0013268505,0.012064355,-0.08280496,0.0,299.82962,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0060656248,0.0016252793,-0.205,0.006279597,0.2617994,0.00010171562,0.007839169,-0.041089952,0.0,299.92355,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.006278518,0.0016823239,-0.205,0.0065,0.2617994,-0.0,0.0,-0.0,0.0,300.12064,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0015505403,0.0006422549,-0.205,0.0016782928,0.39269912,0.044462685,0.06944928,-0.59367,0.0,300.65268,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0021927953,0.00090828567,-0.205,0.0023734644,0.39269912,-0.03562615,0.052576832,-0.5816741,0.0,299.91446,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0026856146,0.0011124181,-0.205,0.0029068883,0.39269912,-0.04436474,0.07077115,-0.53261137,0.0,300.16666,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0031010807,0.0012845098,-0.205,0.0033565855,0.39269912,-0.079019554,0.0020562708,-0.5324616,0.0,300.11905,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0034671135,0.0014361255,-0.205,0.0037527767,0.3926991,-0.033316497,-0.016922116,-0.34115323,0.0,299.98895,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0037980329,0.0015731968,-0.205,0.004110961,0.39269912,-0.02113961,0.087840885,-0.3899719,0.0,299.78302,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004102344,0.0016992467,-0.205,0.0044403453,0.3926991,-0.036475524,0.033908244,-0.38307044,0.0,299.96915,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0043855906,0.0018165713,-0.205,0.004746929,0.39269912,-0.044718523,-0.0056118523,-0.3097665,0.0,299.8198,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004651621,0.0019267646,-0.205,0.0050348784,0.3926991,-0.028410967,-0.0058870446,-0.22890699,0.0,299.99304,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0049032397,0.0020309885,-0.205,0.0053072283,0.3926991,-0.022478558,-0.014141878,-0.16941915,0.0,299.6109,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0051425607,0.0021301187,-0.205,0.0055662673,0.39269912,-0.010796227,0.00902296,-0.15142065,0.0,299.788,case_016,311.0,283.5,0.6,1.4
