fold,case_id,hot_rmse_K,cold_rmse_K,combined_rmse_K,output_dir
1,case_001,0.29246433586598297,0.35940650118699086,0.6518708370529738,outputs_3d_synthetic_conditioned_case_cv_final/fold_1
2,case_002,0.3248979044216661,0.36105674170656077,0.6859546461282269,outputs_3d_synthetic_conditioned_case_cv_final/fold_2
3,case_003,0.288661479417066,0.35778343427078696,0.646444913687853,outputs_3d_synthetic_conditioned_case_cv_final/fold_3
2,case_004,0.30155411364637474,0.3606054048132838,0.6621595184596585,outputs_3d_synthetic_conditioned_case_cv_final/fold_2
4,case_005,0.28251645399460584,0.3555425269565176,0.6380589809511235,outputs_3d_synthetic_conditioned_case_cv_final/fold_4
2,case_006,0.3008667655348988,0.3594867842784117,0.6603535498133104,outputs_3d_synthetic_conditioned_case_cv_final/fold_2
3,case_007,0.29288410329475684,0.36232235960156045,0.6552064628963172,outputs_3d_synthetic_conditioned_case_cv_final/fold_3
4,case_008,0.29022402703932515,0.351409217486747,0.6416332445260722,outputs_3d_synthetic_conditioned_case_cv_final/fold_4
3,case_009,0.28874788344295277,0.35891475865072864,0.6476626420936814,outputs_3d_synthetic_conditioned_case_cv_final/fold_3
1,case_010,0.32612718794847323,0.3964299670942299,0.7225571550427031,outputs_3d_synthetic_conditioned_case_cv_final/fold_1
1,case_011,0.288556374164489,0.3828429852042185,0.6713993593687075,outputs_3d_synthetic_conditioned_case_cv_final/fold_1
4,case_012,0.30114096926051065,0.35377503309155595,0.6549160023520666,outputs_3d_synthetic_conditioned_case_cv_final/fold_4
1,case_013,0.3213231800329581,0.35949122268334754,0.6808144027163057,outputs_3d_synthetic_conditioned_case_cv_final/fold_1
4,case_014,0.36254655647883066,0.3834911433742392,0.7460376998530698,outputs_3d_synthetic_conditioned_case_cv_final/fold_4
2,case_015,0.3330072226321685,0.3762305781232615,0.70923780075543,outputs_3d_synthetic_conditioned_case_cv_final/fold_2
3,case_016,1.1194578625730351,0.3872903650801802,1.5067482276532154,outputs_3d_synthetic_conditioned_case_cv_final/fold_3
